Treatment Effect,Lower Treatment Effect,Upper Treatment Effect
-0.16503723570015427,-0.2687451514726961,-0.06132931992761227
-0.23023092972857498,-0.3884180209153629,-0.07204383854178709
-0.09336799901249487,-0.3519454529070118,0.16520945488202188
-0.13957758301173975,-0.2117971642595879,-0.06735800176389174
-0.07640530790297986,-0.20200260892623198,0.049191993120272226
-0.13147480687870608,-0.310979439551072,0.048029825793659886
-0.04357966174434919,-0.19584658073135397,0.10868725724265547
-0.1886697983459063,-0.2645017479225691,-0.1128378487692437
-0.19117737934924034,-0.25952197985550507,-0.12283277884297554
-0.14342901011778927,-0.2240382412433829,-0.06281977899219546
-0.13475156251681997,-0.1894621676391803,-0.08004095739445964
-0.07508855442291354,-0.2690255878740478,0.11884847902822064
0.030969268238691,-0.26616328537093836,0.3281018218483202
0.07007633574713434,-0.19395307625307065,0.33410574774733925
-0.22131038870330852,-0.27984366350283874,-0.1627771139037782
-0.1782809681179139,-0.22487922832145485,-0.13168270791437298
-0.1707681984906684,-0.21758342748090242,-0.12395296950043438
-0.16118701851109898,-0.24078171699309114,-0.08159232002910684
-0.16351417553089478,-0.24233717602982913,-0.08469117503196052
-0.14079441677899782,-0.20744666997258826,-0.07414216358540743
-0.07620805151234564,-0.1969778877388868,0.04456178471419549
0.06637973971632184,-0.2590360897486945,0.39179556918133795
0.01608638260639724,-0.15452040552868634,0.1866931707414808
0.001831233950052854,-0.1679044646676441,0.1715669325677498
-0.15161947737575096,-0.28573857288060117,-0.017500381870900805
-0.21114256098210493,-0.2798781355112519,-0.142406986452958
-0.18403595023707303,-0.2845799498374594,-0.08349195063668668
-0.2075522826794384,-0.2656750500110323,-0.1494295153478446
-0.10348694770239389,-0.24542157728918426,0.038447681884396456
-0.20318432848070447,-0.2423648402964121,-0.1640038166649968
-0.1491465970686306,-0.24131976616633305,-0.05697342797092808
-0.16735347241259402,-0.274062744174712,-0.060644200650476016
-0.14166269224844313,-0.196596240766908,-0.08672914372997825
-0.11306963914042949,-0.2332422864523688,0.0071030081715098
-0.1625624990934746,-0.3211938789202541,-0.003931119266695093
-0.1497621627056638,-0.3192334783664957,0.019709152955168008
-0.17512124850552535,-0.26466517759425834,-0.08557731941679245
-0.15448274217550187,-0.2948576262160335,-0.014107858134970258
-0.1687293659095605,-0.21770452633328286,-0.11975420548583826
-0.15977461414431296,-0.2524183952622623,-0.06713083302636362
-0.18112805849400337,-0.23940264918917467,-0.12285346779883208
-0.14620264203318425,-0.24583856783485264,-0.04656671623151579
-0.19389041320692324,-0.2541655044496066,-0.1336153219642398
-0.1593014649110733,-0.3055814365506495,-0.013021493271497014
-0.16799054440139444,-0.2845022444486018,-0.05147884435418705
-0.1768404596525326,-0.2537040452606185,-0.09997687404444666
-0.17394079967761536,-0.26598918641581915,-0.08189241293941141
-0.14543500810581284,-0.22749590616051923,-0.06337411005110645
-0.15867155637258973,-0.236048164178077,-0.08129494856710238
-0.20505251087553558,-0.26904447651684243,-0.14106054523422876
-0.1726160013180368,-0.23784180080269873,-0.10739020183337489
-0.12351908980911194,-0.28303348579430426,0.035995306176080336
-0.1173383255432135,-0.2196327408698451,-0.015043910216581996
-0.1785351193610424,-0.3080286099200418,-0.04904162880204324
-0.14537014863110287,-0.25948722522439205,-0.0312530720378137
-0.18302363026723412,-0.23184770031506718,-0.1341995602194008
-0.1948760957709832,-0.3028118327113699,-0.08694035883059667
-0.17987221102813905,-0.2580808230578657,-0.10166359899841255
-0.15311477787658653,-0.2425740104667817,-0.06365554528639143
-0.17225189293621834,-0.23826817281630283,-0.10623561305613387
-0.17908995762573177,-0.23281115534702085,-0.12536875990444268
-0.1518947032044317,-0.2115215104208898,-0.09226789598797358
-0.15972766464468716,-0.2131611805271763,-0.10629414876219784
-0.19248280399257062,-0.2693949206278726,-0.1155706873572686
-0.10861254022181231,-0.21768628185936661,0.00046120141574190754
-0.0020922952029887136,-0.2944115285865664,0.2902269381805889
-0.1959652066436767,-0.27205175205554444,-0.119878661231809
-0.13720976875570878,-0.2250617594954012,-0.0493577780160164
-0.1827466126992462,-0.2647456543380594,-0.10074757106043299
-0.1592369339850733,-0.26413318861559676,-0.05434067935454988
-0.19161301357040408,-0.33048829912912625,-0.05273772801168189
-0.1296810383559147,-0.21165439344385373,-0.04770768326797574
-0.1683230997443915,-0.3185890030156749,-0.018057196473108134
-0.09182140843874424,-0.21238334148060034,0.028740524603111814
-0.12485425600264642,-0.2147009039318115,-0.03500760807348133
-0.22667610602355848,-0.2987873035959683,-0.1545649084511487
-0.09186588941000746,-0.19038446047683225,0.00665268165681715
-0.2138155761353646,-0.2856630976903457,-0.14196805458038358
-0.19035830158148614,-0.25009195679615187,-0.13062464636682045
-0.2408081099781676,-0.34061852367590056,-0.14099769628043474
-0.17662708668196286,-0.25324412360229037,-0.10001004976163545
-0.19268080628170858,-0.269357864300712,-0.11600374826270517
-0.19602340569534896,-0.32864395399407026,-0.06340285739662768
-0.1663825491696797,-0.22727628840253286,-0.10548880993682652
-0.19235709343660545,-0.2720156455840689,-0.11269854128914218
-0.19727894421823733,-0.2390437012398974,-0.15551418719657717
-0.197848363054639,-0.33528288359857783,-0.060413842510699894
-0.22356957173293582,-0.30813562714410153,-0.1390035163217701
-0.1942939803679315,-0.22977538304419626,-0.15881257769166646
-0.1305207231942643,-0.2502772628073763,-0.010764183581152345
-0.1611250625672855,-0.21944170023410092,-0.1028084249004701
-0.10266700401620873,-0.22312233119704467,0.01778832316462696
-0.1354108249005626,-0.200145544489978,-0.07067610531114715
-0.16250044756062917,-0.22141892427884285,-0.10358197084241551
-0.19677819773654637,-0.23915835596099486,-0.1543980395120979
-0.14821588403197547,-0.20409395136251893,-0.09233781670143215
-0.19565618902263326,-0.2472391307033263,-0.14407324734194024
-0.16507373401284337,-0.20349443501106718,-0.12665303301461955
-0.2000390482341179,-0.27721866425822117,-0.12285943221001444
-0.03092893318169659,-0.36317132620205894,0.3013134598386657
-0.18786045607166868,-0.2590636201701026,-0.11665729197323477
-0.18675458980151063,-0.23246528531575736,-0.14104389428726385
-0.09729460015067878,-0.27101561747296404,0.07642641717160638
-0.16177896131483388,-0.24877512890430908,-0.07478279372535869
-0.17503676194250997,-0.22662096931581532,-0.12345255456920465
-0.18416602837040444,-0.25313886513469075,-0.11519319160611814
-0.18238937427108648,-0.25373043049052657,-0.11104831805164649
-0.1378330478699393,-0.21540342217537284,-0.06026267356450571
-0.20368811848119134,-0.2837910740685161,-0.12358516289386666
-0.1842332810320395,-0.24710285369943896,-0.12136370836464008
-0.1755990652873896,-0.22585728074988343,-0.12534084982489585
-0.19886398369053587,-0.27952661688468117,-0.1182013504963907
-0.20829043324907456,-0.26417367799950275,-0.15240718849864646
-0.2028916480447615,-0.23803494110750895,-0.1677483549820141
-0.17662164575170888,-0.2258914101218207,-0.12735188138159706
-0.19011380671738587,-0.23327601368560008,-0.14695159974917146
-0.17964032897447726,-0.25179361264527034,-0.1074870453036842
-0.15702805035367998,-0.21338195269310106,-0.10067414801425889
-0.12183148956012428,-0.22653195872053083,-0.017131020399717742
-0.13061391015153112,-0.25952377504337,-0.001704045259692144
-0.09164244445505355,-0.18168035684062778,-0.001604532069479428
-0.17141761709071077,-0.2748781833847332,-0.06795705079668836
-0.1678996047062083,-0.201990083733109,-0.13380912567930753
-0.18660977357170735,-0.24263211564575507,-0.1305874314976597
-0.20264037254933387,-0.2468974390364255,-0.15838330606224213
-0.1685142726810163,-0.2343454379190381,-0.10268310744299426
-0.16467840593896316,-0.23670816354266067,-0.09264864833526544
-0.19845337443048927,-0.23014119846571265,-0.16676555039526608
-0.1405089193770281,-0.19217972888447543,-0.08883810986958077
-0.07158675615604998,-0.26508982730820874,0.12191631499610867
-0.1603689167674577,-0.2816714596602138,-0.03906637387470163
-0.15120304514324895,-0.2368662077514263,-0.06553988253507163
-0.14867057946258982,-0.30614355223695744,0.008802393311777817
-0.20036655612693893,-0.27224593459981894,-0.1284871776540585
-0.22830688275362368,-0.28551745434570547,-0.17109631116154184
-0.21371337193303794,-0.27819009729478966,-0.14923664657128632
-0.14260394534815354,-0.29060438171619674,0.005396491019889538
-0.19385108994848305,-0.25449873141277357,-0.13320344848419247
-0.19441163562974015,-0.23353115763570265,-0.15529211362377743
-0.1833025806509857,-0.26138201811705314,-0.10522314318491846
-0.15785864724616602,-0.2173336987033532,-0.09838359578897891
-0.1906613893228847,-0.25164601492846767,-0.12967676371730186
-0.19124088026160194,-0.2563634935385021,-0.12611826698470188
-0.18669040531135903,-0.23438544975033998,-0.13899536087237802
-0.18832905656122195,-0.2778664431525326,-0.09879166996991127
-0.1744996859255565,-0.22047894593185963,-0.12852042591925344
-0.11907240666678531,-0.19919959073415,-0.038945222599420626
-0.17001805144616444,-0.21785424763246675,-0.12218185525986214
-0.1806996124907447,-0.24060320943874697,-0.12079601554274247
-0.11612198506148827,-0.20990468983359145,-0.02233928028938517
-0.17734933093342398,-0.23579350782396413,-0.1189051540428836
-0.18885976876805977,-0.23014144041526602,-0.1475780971208535
-0.1815062214925825,-0.2505165789274153,-0.11249586405774963
-0.11204101480228724,-0.17959736316553399,-0.044484666439040574
-0.2202885845389483,-0.285296624943193,-0.15528054413470338
-0.14808148468488222,-0.19939559759530134,-0.09676737177446315
-0.1285599688999074,-0.24367336078715163,-0.013446577012662941
-0.17372729043975196,-0.2231251138220633,-0.12432946705744063
-0.13628244893463834,-0.2542282192349018,-0.01833667863437477
-0.17319492077888549,-0.21059730906838003,-0.1357925324893908
-0.16116761140957234,-0.20157179353633775,-0.12076342928280695
-0.1755009415122356,-0.2360134237267489,-0.11498845929772226
-0.15697964985909285,-0.1980754398762762,-0.11588385984190949
-0.11407232414129688,-0.169358082769197,-0.05878656551339678
-0.14478078174633444,-0.2716528176848694,-0.017908745807799525
-0.14479254088269247,-0.22028934905219366,-0.06929573271319106
-0.17315802332897795,-0.22383721323439953,-0.12247883342355637
-0.16193208956927482,-0.2943392602605772,-0.029524918877972456
-0.13030739951236014,-0.22911437484228359,-0.03150042418243672
-0.16125286354107163,-0.213234069951374,-0.10927165713076943
-0.1784802242067837,-0.2582893127690694,-0.09867113564449799
-0.19962585613281875,-0.25646902539085165,-0.14278268687478587
-0.16021197588275754,-0.22024694167852277,-0.1001770100869922
-0.12134101513922843,-0.445934767143666,0.20325273686520923
-0.16360850687409725,-0.2248010788648256,-0.10241593488336888
-0.10916234145241988,-0.2029727986880578,-0.015351884216781977
-0.18165748088669906,-0.29347137932055845,-0.0698435824528397
-0.1510279163649648,-0.22696601485207157,-0.07508981787785793
-0.15290384792525205,-0.2543563692481316,-0.051451326602372546
-0.15622748183169458,-0.29261786728092964,-0.01983709638245945
-0.10832402743648767,-0.20597464193366777,-0.010673412939307625
-0.15708794113471064,-0.24637789941959898,-0.06779798284982244
-0.21770770102972553,-0.2684983233738589,-0.16691707868559216
-0.1542713080637377,-0.26363878777581645,-0.044903828351658834
-0.1538964386772071,-0.20843747723829636,-0.09935540011611795
-0.19921984592019182,-0.2708940693772348,-0.12754562246314877
-0.1445246429509512,-0.23828828813297384,-0.05076099776892855
-0.11749371558164086,-0.22071216257798942,-0.014275268585292322
-0.20791333024750056,-0.2521297663563623,-0.16369689413863842
-0.17195357680957024,-0.2406477670221452,-0.10325938659699502
-0.15247798298935603,-0.2098756490472305,-0.09508031693148158
-0.17455830959430582,-0.23617767628762967,-0.11293894290098204
-0.19000329815675127,-0.246320823369952,-0.13368577294355052
-0.20026276395012965,-0.3323436232021171,-0.06818190469814203
-0.17714999274042437,-0.24815278549973913,-0.10614719998110966
